	Unnamed: 0	BataryaGucu	Bluetooth	MikroislemciHizi	CiftHat	OnKameraMP	4G	DahiliBellek	Kalinlik	Agirlik	CekirdekSayisi	ArkaKameraMP	CozunurlukYükseklik	CozunurlukGenislik	RAM	BataryaOmru	3G	Dokunmatik	WiFi	FiyatAraligi	Renk
37	37	1591	Var	2,2	Yok	3.0	Var	49	0,4	154	6	7	1384	1883	3703.0	20	Var	Var	Yok	Pahalı	Mavi
38	38	706	Yok	0,5	Yok	13.0	Var	31	0,1	108	3	19	543	938	2419.0	4	Var	Yok	Var	Ucuz	Mavi
39	39	1703	Var	0,5	Yok	0,0	Var	22	0,6	192	1	0	286	1235	1046.0	13	Var	Yok	Var	Çok Ucuz	Turkuaz
40	40	1802	Yok	2,7	Var	0.0	Var	10	0,6	101	7	9	253	590	696.0	3	Var	Var	Yok	Çok Ucuz	Mor
41	41	713	Yok	1,4	Var	4.0	Yok	53	0,8	98	1	17	123	1477	1462.0	13	Var	Yok	Var	Çok Ucuz	Yeşil
42	42	1000	Var	0,5	Yok	12,0	Yok	63	0,7	179	8	18	1537	1761	3744.0	7	Yok	Yok	Var	Pahalı	Kırmızı
43	43	774	Var	2,8	Yok	7.0	Var	55	0,9	124	3	18	8	896	3916.0	12	Var	Var	Yok	Pahalı	Gri
44	44	1379	Yok	1,1	Yok	5.0	Var	36	0,8	200	2	7	538	1376	3426.0	17	Var	Var	Var	Pahalı	Kırmızı
45	45	1067	Var	2,4	Var	3,0	Var	40	0,6	122	8	15	494	1989	604.0	11	Var	Yok	Yok	Çok Ucuz	Siyah
46	46	1007	Var	2,9	Var	5.0	Var	21	0,8	185	8	12	479	831	1301.0	12	Var	Var	Yok	Çok Ucuz	Kırmızı
47	47	761	Var	0,5	Yok	9.0	Yok	3	0,8	196	7	15	1325	1945	2248.0	15	Var	Var	Var	Normal	Gri
48	48	714	Var	2,1	Var	5,0	Var	11	0,1	197	3	6	1750	1857	1164.0	19	Var	Var	Yok	Ucuz	Sarı
49	49	1715	Yok	1,0	Var	4.0	Var	31	0,5	83	8	17	638	1615	625.0	13	Var	Yok	Yok	Çok Ucuz	Siyah
50	50	1681	Var	2,5	Var	6.0	Yok	18	0,3	167	1	7	850	1005	2265.0	20	Var	Var	Var	Normal	Turuncu
51	51	981	Var	1,9	Var	0,0	Yok	2	0,1	136	3	7	75	688	1539.0	19	Yok	Yok	Yok	Çok Ucuz	Kırmızı
52	52	1172	Var	2,1	Var	4.0	Yok	41	0,1	95	3	7	1314	1884	1107.0	5	Yok	Yok	Yok	Ucuz	Beyaz
53	53	1000	Yok	2,7	Yok	1.0	Var	58	1,0	135	5	12	461	833	862.0	20	Var	Yok	Yok	Çok Ucuz	Siyah
54	54	1855	Yok	0,5	Yok	5,0	Yok	32	0,6	187	8	18	267	1161	3933.0	7	Var	Yok	Var	Pahalı	Mor
55	55	1402	Var	0,6	Var	3.0	Yok	46	0,3	87	7	12	1081	1767	347.0	12	Var	Yok	Var	Çok Ucuz	Gri
56	56	1028	Var	2,8	Yok	1.0	Var	30	0,1	193	1	10	1801	1923	1424.0	13	Var	Yok	Var	Ucuz	Kırmızı
57	57	1063	Var	2,5	Yok	0,0	Var	31	0,9	95	6	10	295	935	961.0	5	Var	Var	Yok	Çok Ucuz	Beyaz
58	58	538	Yok	1,1	Var	0.0	Var	25	0,3	163	7	7	455	537	2215.0	17	Var	Var	Var	Ucuz	Beyaz
59	59	1074	Yok	2,4	Var	2.0	Var	9	0,9	103	6	14	946	952	1948.0	18	Var	Var	Var	Ucuz	Sarı
60	60	826	Yok	0,5	Var	0,0	Var	57	0,5	135	2	0	354	530	323.0	7	Var	Yok	Var	Çok Ucuz	Siyah
61	61	801	Var	2,2	Var	2.0	Yok	63	0,4	165	7	4	650	879	1617.0	19	Yok	Yok	Var	Ucuz	Turkuaz
62	62	1807	Var	0,5	Var	2.0	Var	61	0,1	134	6	6	1734	1968	3726.0	15	Var	Yok	Yok	Pahalı	Beyaz
63	63	1271	Var	0,5	Yok	12,0	Yok	32	0,1	113	7	15	1350	1949	445.0	14	Yok	Yok	Var	Çok Ucuz	Yeşil
64	64	860	Var	1,3	Var	1.0	Var	49	0,7	141	6	13	692	979	3869.0	20	Var	Var	Var	Pahalı	Sarı
65	65	511	Var	3,0	Var	5.0	Var	34	0,9	125	8	13	149	1285	3265.0	14	Var	Yok	Yok	Normal	Siyah
66	66	1656	Var	1,6	Var	0,0	Yok	16	1,0	117	7	2	320	899	2856.0	20	Var	Var	Var	Normal	Gri
67	67	1575	Yok	2,5	Var	0.0	Var	11	0,2	185	7	20	492	818	2182.0	17	Var	Var	Yok	Normal	Sarı
68	68	1417	Var	2,7	Yok	2.0	Var	56	0,9	114	6	4	494	1649	590.0	6	Var	Yok	Var	Çok Ucuz	Turuncu
69	69	606	Yok	2,5	Yok	1,0	Var	53	0,2	146	4	2	465	1152	1223.0	7	Var	Yok	Yok	Çok Ucuz	Beyaz
70	70	1202	Var	2,4	Var	0.0	Yok	19	0,1	122	2	1	404	1742	595.0	3	Yok	Yok	Yok	Çok Ucuz	Kahverengi
71	71	1972	Yok	1,2	Var	0.0	Yok	37	0,7	102	2	1	715	1648	2870.0	17	Yok	Yok	Yok	Pahalı	Turuncu
72	72	1483	Var	2,2	Yok	3,0	Var	53	0,7	169	5	11	291	651	1744.0	10	Var	Yok	Yok	Ucuz	Mor
73	73	1159	Yok	1,5	Yok	3.0	Yok	36	0,4	104	4	8	717	1206	2115.0	18	Yok	Yok	Yok	Normal	Turkuaz
74	74	627	Yok	1,8	Yok	2.0	Yok	20	0,8	142	3	8	211	507	896.0	14	Yok	Yok	Yok	Çok Ucuz	Beyaz
75	75	1694	Var	0,6	Yok	0,0	Var	34	0,3	102	7	7	377	549	2298.0	2	Var	Var	Yok	Normal	Mavi
76	76	1254	Yok	1,2	Var	2.0	Yok	50	0,7	108	5	6	462	1013	3959.0	17	Var	Var	Yok	Pahalı	Turkuaz
77	77	1365	Yok	0,6	Yok	0.0	Var	31	0,3	125	4	0	293	970	1300.0	13	Var	Yok	Var	Çok Ucuz	Siyah
78	78	851	Yok	2,3	Var	7,0	Var	54	1,0	101	2	9	788	1007	1005.0	14	Var	Yok	Var	Çok Ucuz	Mor
79	79	718	Yok	0,7	Var	0.0	Var	21	0,8	88	1	7	518	830	1754.0	9	Var	Yok	Var	Ucuz	Beyaz
80	80	614	Var	0,7	Yok	4.0	Var	51	0,1	178	7	7	1012	1040	2854.0	12	Var	Yok	Var	Normal	Turuncu
81	81	1002	Yok	2,6	Var	7,0	Yok	27	0,1	146	1	10	115	1111	1295.0	17	Var	Yok	Var	Çok Ucuz	Pembe
82	82	1063	Var	1,1	Yok	0.0	Var	26	0,8	101	5	2	1208	1232	3809.0	5	Var	Yok	Var	Pahalı	Turkuaz
83	83	797	Yok	2,2	Var	0.0	Yok	37	0,9	144	7	2	206	1167	2216.0	6	Var	Yok	Yok	Ucuz	Siyah
84	84	1678	Yok	2,1	Yok	3,0	Var	64	0,9	134	3	11	436	536	278.0	10	Var	Var	Yok	Çok Ucuz	Turkuaz
85	85	958	Var	1,6	Yok	9.0	Var	60	0,4	200	1	12	730	751	1417.0	19	Var	Yok	Var	Çok Ucuz	Kırmızı
86	86	569	Yok	0,6	Var	2.0	Yok	39	0,1	184	8	9	389	739	2811.0	7	Var	Yok	Var	Ucuz	Turuncu
87	87	1062	Var	2,5	Var	6,0	Yok	10	0,9	160	1	13	1596	1807		16	Yok	Yok	Var	Pahalı	Gri
88	88	622	Yok	0,7	Yok	0.0	Var	9	0,3	127	2	0	98	511	3916.0	5	Var	Yok	Var	Normal	Kırmızı
89	89	717	Yok	1,1	Var	2.0	Var	14	0,1	99	8	6	1878	1981	629.0	20	Var	Yok	Yok	Çok Ucuz	Pembe
90	90	891	Yok	0,5	Var	9,0	Var	25	0,3	196	2	19	375	1724	2073.0	10	Var	Yok	Var	Ucuz	Beyaz
91	91	1546	Var	1,6	Var	2.0	Var	27	0,7	124	2	6	1138	1491	267.0	16	Var	Var	Yok	Çok Ucuz	Beyaz
92	92	676	Yok	2,2	Yok	1.0	Var	39	0,2	84	1	5	864	1011	2064.0	6	Var	Yok	Yok	Ucuz	Pembe
93	93	1531	Yok	2,0	Yok	0,0	Var	60	0,4	162	6	1	625	765	2524.0	7	Var	Yok	Yok	Normal	Beyaz
94	94	1869	Yok	2,6	Yok	0.0	Var	30	0,4	152	1	13	163	874	1375.0	19	Var	Yok	Yok	Ucuz	Mavi
95	95	1317	Yok	1,5	Yok	6.0	Yok	12	0,1	154	2	9	431	542	425.0	11	Var	Var	Var	Çok Ucuz	Sarı
96	96	1986	Yok	0,5	Var	3,0	Var	51	0,1	165	8	20	282	1358	1614.0	3	Var	Var	Var	Ucuz	Beyaz
97	97	771	Var	0,5	Yok	3.0	Yok	25	1,0	86	4	6	327	922	770.0	20	Yok	Var	Yok	Çok Ucuz	Siyah
98	98	1450	Yok	2,1	Yok	1.0	Yok	31	0,6	114	5	4	1573	1639	794.0	9	Yok	Var	Var	Ucuz	Mavi
99	99	1898	Yok	1,8	Var	3,0	Var	56	0,2	185	7	4	444	739	2114.0	19	Var	Var	Var	Normal	Siyah
100	100	848	Var	2,8	Yok	1.0	Yok	8	0,1	103	7	3	7	1294	436.0	15	Var	Var	Var	Çok Ucuz	Kahverengi
101	101	1039	Var	2,7	Yok	11.0	Yok	56	0,3	125	8	13	497	618	3105.0	5	Yok	Var	Var	Normal	Kırmızı
102	102	1100	Var	1,6	Yok	12,0	Yok	15	0,1	112	8	14	919	1344	757.0	16	Var	Var	Var	Çok Ucuz	Sarı
103	103	1442	Yok	0,6	Var	1.0	Yok	27	0,4	127	5	8	266	642	991.0	7	Var	Yok	Yok	Çok Ucuz	Pembe
104	104	1589	Var	1,4	Yok	3.0	Var	26	0,1	100	8	16	1673	1759	3970.0	18	Var	Yok	Var	Pahalı	Mavi
105	105	1112	Var	0,5	Var	1,0	Yok	53	0,6	121	4	16	234	739	3655.0	20	Var	Var	Yok	Pahalı	Turkuaz
106	106	1002	Yok	0,8	Var	0.0	Var	35	0,5	83	2	4	1345	1416	1726.0	19	Var	Yok	Var	Ucuz	Turuncu
107	107	1719	Var	2,0	Yok	0.0	Yok	12	0,3	122	8	7	240	904	462.0	5	Yok	Yok	Yok	Çok Ucuz	Yeşil
108	108	1339	Var	2,3	Var	0,0	Yok	40	0,1	123	2	1	212	1269	2382.0	7	Var	Yok	Var	Normal	Gri
109	109	1165	Var	2,4	Yok	11.0	Yok	41	0,2	178	6	12	564	831	764.0	15	Var	Yok	Yok	Çok Ucuz	Kahverengi
110	110	1521	Var	1,6	Yok	5.0	Var	62	0,3	143	1	9	678	1630	3555.0	19	Var	Yok	Yok	Pahalı	Turkuaz
111	111	868	Yok	1,7	Yok	0,0	Yok	30	0,8	83	4	0	276	1026	1653.0	17	Var	Yok	Yok	Ucuz	Beyaz
112	112	1361	Var	1,4	Yok	1.0	Yok	47	1,0	169	5	2	881	1382	2495.0	16	Yok	Yok	Var	Normal	Sarı
113	113	816	Yok	3,0	Var	2.0	Yok	9	0,1	117	1	3	1196	1651	3851.0	14	Var	Yok	Var	Pahalı	Beyaz
114	114	1515	Var	2,1	Var	4,0	Var	24	0,9	176	5	6	747	1247	3104.0	20	Var	Yok	Yok	Pahalı	Beyaz
115	115	911	Var	2,9	Yok	0.0	Yok	46	0,1	181	5	1	461	670	363.0	17	Yok	Var	Yok	Çok Ucuz	Siyah
116	116	1110	Yok	1,5	Yok	4.0	Var	41	0,1	152	3	16	800	1455	2572.0	16	Var	Yok	Var	Normal	Siyah
117	117	1940	Var	0,9	Var	4,0	Yok	17	0,7	93	5	7	112	858	2297.0	8	Yok	Var	Yok	Normal	Kahverengi
118	118	601	Var	1,4	Yok	4.0	Var	4	0,1	154	4	13	356	765	532.0	10	Var	Var	Var	Çok Ucuz	Mor
119	119	825	Var	0,5	Var	7.0	Yok	52	0,9	130	3	10	597	863	3534.0	6	Yok	Var	Yok	Pahalı	Pembe
120	120	1403	Var	2,5	Var	3,0	Yok	62	0,9	90	4	13	217	1623	921.0	18	Var	Yok	Yok	Çok Ucuz	Turuncu
121	121	1602	Var	2,8	Var	4.0	Var	38	0,7	114	3	20	466	788	1037.0	20	Var	Yok	Yok	Çok Ucuz	Kahverengi
122	122	823	Var	0,5	Yok	0.0	Yok	39	0,4	187	8	4	630	888	294.0	11	Yok	Yok	Var	Çok Ucuz	Beyaz
123	123	888	Yok	2,6	Var	2,0	Var	33	0,4	198	2	17	327	1683	3407.0	20	Var	Yok	Yok	Pahalı	Gri
124	124	1996	Yok	2,5	Yok	5.0	Var	51	0,4	122	4	9	671	1445	2236.0	12	Var	Yok	Var	Normal	Pembe
125	125	1438	Var	1,8	Yok	3.0	Yok	16	0,6	169	8	7	859	867	2246.0	15	Yok	Yok	Yok	Normal	Turkuaz
126	126	1218	Yok	1,8	Var	1,0	Var	14	0,5	147	3	4	229	616	398.0	5	Var	Yok	Yok	Çok Ucuz	Mor
127	127	1980	Yok	0,5	Var	2.0	Var	29	0,8	177	1	13	312	1910	3865.0	18	Var	Yok	Yok	Pahalı	Yeşil
128	128	1949	Yok	2,6	Var	4.0	Yok	47	0,3	199	4	7	407	822	1433.0	20	Yok	Yok	Var	Ucuz	Kırmızı
129	129	798	Var	0,5	Var	7,0	Yok	2	0,8	148	2	15	497	627	3593.0	3	Yok	Var	Yok	Normal	Kırmızı
130	130	1130	Yok	1,8	Var	0.0	Yok	27	0,9	101	1	8	1495	1579	315.0	11	Var	Var	Yok	Çok Ucuz	Beyaz
131	131	1191	Yok	0,8	Yok	6.0	Var	46	0,8	89	6	9	42	807	824.0	7	Var	Yok	Yok	Çok Ucuz	Beyaz
132	132	658	Var	2,7	Yok	0,0	Var	12	0,9	103	7	3	1156	1750	3587.0	20	Var	Yok	Yok	Pahalı	Turkuaz
133	133	1970	Yok	1,6	Var	11.0	Var	58	0,3	80	8	19	654	882	2372.0	2	Var	Var	Yok	Normal	Turkuaz
134	134	1656	Yok	1,0	Yok	5.0	Var	34	0,1	166	3	7	880	1456	1629.0	14	Var	Var	Yok	Ucuz	Pembe
135	135	618	Var	0,5	Var	2,0	Var	57	0,2	88	3	7	879	896	2399.0	17	Var	Var	Var	Ucuz	Beyaz
136	136	973	Var	1,5	Yok	5.0	Var	57	0,2	190	7	16	457	1816	2977.0	2	Var	Yok	Yok	Normal	Beyaz
137	137	1450	Var	2,7	Var	9.0	Yok	19	0,6	131	1	17	707	1882	575.0	12	Yok	Yok	Yok	Çok Ucuz	Sarı
138	138	769	Var	1,2	Yok	2,0	Yok	17	0,1	95	8	4	1384	1454	1877.0	11	Yok	Yok	Var	Ucuz	Pembe
139	139	609	Var	0,5	Yok	4.0	Var	10	0,1	81	6	6	113	1524	1905.0	18	Var	Var	Var	Ucuz	Kahverengi
140	140	1702	Var	0,5	Var	8.0	Yok	2	0,6	185	6	19	921	1351	435.0	3	Yok	Var	Var	Çok Ucuz	Kahverengi
141	141	1281	Var	2,3	Var	0,0	Yok	28	0,3	148	1	6	1285	1617	1129.0	6	Yok	Var	Yok	Ucuz	Turuncu
142	142	1379	Yok	1,1	Var	1.0	Var	18	0,2	129	2	16	838	885	2358.0	15	Var	Var	Yok	Normal	Siyah
143	143	977	Var	1,1	Var	2.0	Yok	57	0,6	181	6	7	63	566	1206.0	8	Yok	Var	Var	Çok Ucuz	Turuncu
144	144	1906	Var	1,9	Var	3,0	Yok	55	0,2	113	3	4	3	629	1871.0	4	Var	Yok	Var	Ucuz	Siyah
145	145	980	Var	0,5	Yok	0.0	Var	33	0,9	160	6	0	1008	1758	2268.0	4	Var	Var	Yok	Normal	Siyah
146	146	1552	Var	2,2	Yok	6.0	Var	13	0,2	123	6	9	269	1026	2403.0	9	Var	Var	Var	Normal	Sarı
147	147	786	Yok	2,2	Var	0,0	Yok	33	0,5	141	7	6	507	1697	2390.0	5	Var	Yok	Var	Normal	Gri
148	148	993	Var	2,3	Var	0.0	Yok	16	0,4	106	7	13	424	1639	1113.0	6	Yok	Yok	Var	Çok Ucuz	Turuncu
149	149	772	Var	1,2	Var	7.0	Var	8	0,6	134	7	8	552	1802	422.0	15	Var	Yok	Yok	Çok Ucuz	Kahverengi
150	150	673	Var	2,2	Var	2,0	Yok	3	0,4	84	2	9	1109	1247	2719.0	9	Var	Var	Var	Normal	Gri
151	151	1934	Var	2,6	Var	0.0	Var	46	0,1	103	1	17	619	1299	2940.0	2	Var	Var	Var	Pahalı	Beyaz
152	152	1685	Yok	0,6	Yok	14.0	Yok	16	0,6	137	7	15	120	1429	881.0	17	Yok	Var	Var	Çok Ucuz	Yeşil
153	153	507	Var	1,9	Var	0,0	Var	39	0,7	142	1	0	17	1084	2124.0	12	Var	Var	Yok	Ucuz	Yeşil
154	154	537	Var	2,0	Yok	1.0	Var	55	0,3	103	7	2	1041	1430	2029.0	12	Var	Var	Var	Ucuz	Mor
155	155	772	Var	2,4	Var	1.0	Var	10	0,5	80	4	2	1242	1712	3242.0	4	Var	Var	Yok	Pahalı	Sarı
156	156	1070	Var	3,0	Yok	9,0	Yok	19	0,8	160	7	16	90	1614	2647.0	20	Yok	Var	Yok	Normal	Yeşil
157	157	1972	Yok	2,9	Yok	9.0	Yok	14	0,4	196	7	18	293	952	1316.0	8	Var	Var	Yok	Ucuz	Turuncu
158	158	1044	Var	2,8	Var	7.0	Yok	33	0,6	129	4	13	42	1262	1816.0	15	Var	Yok	Var	Ucuz	Beyaz
159	159	714	Var	0,5	Yok	1,0	Yok	30	0,3	145	4	2	643	1527	2302.0	10	Yok	Var	Var	Ucuz	Turuncu
160	160	555	Var	0,5	Var	2.0	Yok	17	0,2	163	5	12	956	1010	343.0	3	Yok	Var	Var	Çok Ucuz	Mor
161	161	595	Yok	0,9	Var	7.0	Var	23	0,1	121	3	17	441	810	3752.0	18	Var	Var	Yok	Pahalı	Kırmızı
162	162	1362	Yok	0,5	Yok	3,0	Yok	25	0,8	131	7	9	553	1505	995.0	18	Yok	Var	Var	Çok Ucuz	Sarı
163	163	1129	Var	2,8	Var	0.0	Yok	49	0,5	185	2	2	1070	1079	1857.0	5	Var	Var	Var	Ucuz	Beyaz
164	164	1969	Yok	1,2	Var	9.0	Yok	63	0,2	132	4	11	390	756	298.0	10	Var	Var	Yok	Çok Ucuz	Pembe
165	165	1132	Yok	1,0	Yok	0,0	Yok	8	0,1	157	1	4	1091	1293	1950.0	6	Yok	Var	Var	Ucuz	Mavi
166	166	1330	Yok	0,5	Yok	0.0	Yok	38	1,0	183	7	1	1290	1441	1733.0	11	Var	Yok	Var	Ucuz	Kırmızı
167	167	1581	Var	1,0	Yok	9.0	Yok	41	0,4	172	4	19	693	850	1384.0	2	Yok	Var	Var	Ucuz	Mor
168	168	1517	Yok	0,5	Yok	6,0	Var	48	0,6	143	5	14	802	1489	2822.0	11	Var	Var	Var	Pahalı	Turkuaz
169	169	1944	Var	1,8	Var	0.0	Var	31	0,8	87	4	10	1111	1362		8	Var	Yok	Yok	Pahalı	Beyaz
170	170	1035	Yok	0,5	Var	14.0	Var	49	0,3	178	2	15	574	1171	3991.0	19	Var	Yok	Yok	Pahalı	Sarı
171	171	1994	Var	0,7	Yok	5,0	Yok	5	0,4	189	2	7	86	1546	1836.0	18	Var	Yok	Yok	Normal	Gri
172	172	1259	Yok	1,2	Var	0.0	Yok	13	0,5	97	2	0	1210	1989	340.0	4	Var	Yok	Var	Çok Ucuz	Gri
173	173	1946	Yok	2,7	Var	8.0	Yok	8	0,3	123	8	19	647	1849	3117.0	2	Var	Yok	Yok	Pahalı	Gri
174	174	1597	Yok	2,3	Yok	11,0	Yok	34	0,4	89	1	14	64	1667	934.0	9		Var	Yok	Çok Ucuz	Gri
175	175	1410	Var	0,5	Var	0.0	Var	15	0,3	92	3	1	192	1311	2304.0	18	Var	Var	Yok	Normal	Turuncu
176	176	578	Var	2,6	Var	2.0	Var	57	0,2	162	8	8	1025	1433	1270.0	5	Var	Yok	Var	Çok Ucuz	Turuncu
177	177	623	Var	0,8	Yok	6,0	Var	26	0,3	197	7	12	484	1238	1769.0	16	Var	Yok	Yok	Ucuz	Kırmızı
178	178	674	Var	2,8	Var	0.0	Var	8	0,2	93	3	0	750	772	589.0	4	Var	Var	Yok	Çok Ucuz	Yeşil
179	179	667	Yok	1,3	Var	4.0	Var	6	0,1	149	6	10	272	870	3566.0	12	Var	Yok	Var	Normal	Kırmızı
180	180	1444	Yok	0,6	Yok	2,0	Yok	48	0,5	82	5	17	1092	1554	2540.0	15	Var	Var	Var	Pahalı	Pembe
181	181	1177	Yok	0,9	Yok	1.0	Yok	11	1,0	181	4	7	945	1923	1887.0	11	Var	Var	Var	Ucuz	Sarı
182	182	1330	Yok	1,1	Yok	11.0	Yok	37	0,7	126	7	20	1103	1637	2166.0	4	Var	Yok	Yok	Normal	Beyaz
183	183	1645	Var	1,8	Yok	1,0	Yok	21	0,7	123	7	2	897	1308	783.0	20	Var	Yok	Yok	Çok Ucuz	Kırmızı
184	184	733	Yok	0,8	Yok	7.0	Yok	16	0,4	138	4	12	202	1787	2648.0	19	Var	Var	Yok	Normal	Kahverengi
185	185	1571	Yok	1,4	Yok	0.0	Var	19	0,1	100	6	1	713	1398	666.0	13	Var	Var	Yok	Çok Ucuz	Mor
186	186	983	Yok	0,6	Var	0,0	Var	45	0,1	130	4	11	948	1205	2052.0	6	Var	Yok	Var	Ucuz	Mor
187	187	1851	Yok	2,9	Yok	0.0	Yok	53	0,7	112	6	2	174	1175	2678.0	8	Var	Yok	Yok	Normal	Gri
188	188	1445	Var	0,5	Yok	0.0	Yok	53	0,7	174	7	14	386	836	1099.0	20	Var	Yok	Yok	Çok Ucuz	Kahverengi
189	189	1602	Yok	0,6	Yok	12,0	Yok	58	0,4	170	1	13	1259	1746	3622.0	17	Yok	Var	Var	Pahalı	Turkuaz
190	190	1733	Var	1,5	Var	4.0	Var	6	0,9	170	1	15	590	997	3488.0	10	Var	Var	Var	Pahalı	Kırmızı
191	191	1263	Var	1,4	Var	1.0	Var	32	0,4	103	2	2	409	644	3372.0	10	Var	Var	Yok	Pahalı	Pembe
